OBJECTID,type,crash/near-miss date,crash/near-miss mode,crash/near-miss time of day,mode involved,e-scooter involved,Was anyone injured?,crash cause,crash narrative,nearmiss cause,nearmiss narrative,police,unsafe location mode,unsafe location time of day,unsafe location cause,unsafe location narrative,safe location mode,safe location cause,safe location narrative,mobility device,e-bike,e-scooter,improvement,improvement narrative,address,report date,latitude,longitude,type,coordinates
301,unsafe,,,,,,,,,,,,"bike, scooter","day, night",poor-street,rough pavement in the interesection. ,,,,,,,,,"1540-1598 Vine St, Los Angeles, CA, 90028, USA",4/4/2019,34.09977971,-118.3266199,Point,"[-118.326620000097,34.0997799997974]"
302,unsafe,,,,,,,,,,,,"bike, scooter","day, night",poor-street,"Rough pavement, especially in the intersection.",,,,,,,,,"1301-1329 Wilcox Ave, Los Angeles, CA, 90028, USA",4/4/2019,34.0943314,-118.331079,Point,"[-118.331079000012,34.0943310002667]"
303,unsafe,,,,,,,,,,,,"bike, scooter","day, night",poor-street,Rought street on Franklin west of Western.,,,,,,,,,"5500-5526 Franklin Ave, Los Angeles, CA, 90028, USA",4/4/2019,34.10531966,-118.3095365,Point,"[-118.309535999924,34.1053199998751]"
304,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night","poor-bikelane, poor-street, driving-speed","Incredibly scary bridge, but one of very few ways to get from Silver Lake / Los Feliz to Atwater. No space for cyclists, udulating curving road where drivers go very fast with poor visibility, bad road condition.",,,,,,,,,"Hyperion Ave, Los Angeles, CA, 90027, USA",4/4/2019,34.1126592,-118.2663375,Point,"[-118.266337999594,34.1126589998656]"
305,unsafe,,,,,,,,,,,,"bike, scooter","day, night","poor-bikelane, driving-speed",High speed two turn lane on-ramp. No good place for cyclists.,,,,,,,,,"Los Feliz Blvd, Los Angeles, CA, 90039, USA",4/4/2019,34.11832927,-118.2717226,Point,"[-118.271722999972,34.1183289999986]"
306,unsafe,,,,,,,,,,,,"bike, scooter","day, night","poor-bikelane, poor-sign, driving-speed","Very difficult to get into left turn lane headed E on Los Feliz in order to access Griffith Park. High speed, many lanes need to be crossed.",,,,,,,,,"Griffith Park Dr, Los Angeles, CA, 90027, USA",4/4/2019,34.11703643,-118.2717283,Point,"[-118.271727999995,34.117036000308]"
307,positive,,,,,,,,,,,,,,,,"walk, bike",car-traffic,Delightful road through a park closed to vehicle traffic.,,,,,,"Mt Hollywood Dr, Los Angeles, CA, 90027, USA",4/4/2019,34.14938863,-118.3022819,Point,"[-118.3022819998,34.1493889998469]"
308,positive,,,,,,,,,,,,,,,,"walk, bike",car-traffic,delightful road through park closed to vehicle traffic.,,,,,,"Vista del Valle Dr, Los Angeles, CA, 90027, USA",4/4/2019,34.12135759,-118.2879896,Point,"[-118.287990000361,34.1213579998695]"
309,positive,,,,,,,,,,,,,,,,"walk, bike",car-traffic,Delightful road through the park closed to vehicle traffic.,,,,,,"Mt Hollywood Dr, Los Angeles, CA, 90027, USA",4/4/2019,34.12371547,-118.3019896,Point,"[-118.301989999722,34.1237150002645]"
310,positive,,,,,,,,,,,,,,,,"walk, bike",car-traffic,"Mt. Lee Dr is in poor shape, but it is still very enjoyable and safe because it is closed to vehicle traffic.",,,,,,"5903-5993 Mulholland Hwy, Los Angeles, CA, 90068, USA",4/4/2019,34.13018339,-118.3190244,Point,"[-118.319023999667,34.1301830001699]"
311,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","good-bikelane, good-sign",Great use of a median to allow ped/bikes/scooters through while diverting auto traffic. Really good solution for neighborhood streets.,,,,,,"Whitley Ave, Los Angeles, CA, 90028, USA",4/4/2019,34.10329432,-118.3333635,Point,"[-118.33336299986,34.1032939999891]"
312,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","good-bikelane, good-sign",Great use of a median to allow ped/bikes/scooters through while diverting auto traffic. Really good solution for neighborhood streets.,,,,,,"1801-1899 N Cherokee Ave, Los Angeles, CA, 90028, USA",4/4/2019,34.10322269,-118.3348324,Point,"[-118.334831999573,34.1032229998696]"
313,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","good-bikelane, good-sign",Great use of a median to allow ped/bikes/scooters through while diverting auto traffic. Really good solution for neighborhood streets.,,,,,,"1751-1799 N Las Palmas Ave, Los Angeles, CA, 90028, USA",4/4/2019,34.10321437,-118.3362407,Point,"[-118.336240999909,34.1032140002588]"
314,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night","poor-bikelane, poor-sign, no-yield, driving-speed",Very difficult to make left turns from 4th (a bikeway) onto Rossmore. Also difficult to cross straight through (no signals or markings).,,,,,,,,,"4951-4999 W 4th St, Los Angeles, CA, 90020, USA",4/4/2019,34.06716315,-118.3273248,Point,"[-118.327324999729,34.0671629999286]"
315,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night","poor-sign, no-yield, driving-speed","Crossing Stadium Way at Elysian Park / Angeles Point Rd is frightening. No signals or markings, cars drive fast, and visibility is poor.",,,,,,,,,"2133-2133 Stadium Way, Los Angeles, CA, 90026, USA",4/4/2019,34.08614394,-118.2431529,Point,"[-118.243153000439,34.0861440002452]"
316,unsafe,,,,,,,,,,,,bike,,,,,,,,,,,,"San Pablo Ave & Appian Way, Pinole, CA, 94564, USA",4/4/2019,38.004174,-122.298543,Point,"[-122.298542999827,38.0041740002693]"
317,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","good-bikelane, good-sign",Good traffic control and markings at this intersection at an Elementary School and Preschool.,,,,,,"2881-2889 Rowena Ave, Los Angeles, CA, 90039, USA",4/4/2019,34.10812109,-118.2670779,Point,"[-118.267078000284,34.1081210003473]"
318,unsafe,,,,,,,,,,,,"walk, bike, scooter",,"poor-sidewalk, poor-bikelane, poor-street, poor-sign, no-yield, driving-speed",High speed cars merging in from the right. No safe way to move over to the right.,,,,,,,,,"Hyperion Ave, Los Angeles, CA, 90039, USA",4/4/2019,34.11487167,-118.2641654,Point,"[-118.264165000075,34.1148719996754]"
319,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","safe-speed, good-sign",Feels so much nicer here with the lights and markings at the new crosswalk.,,,,,,"4630-4672 Hollywood Blvd, Los Angeles, CA, 90027, USA",4/4/2019,34.10000622,-118.2901089,Point,"[-118.290109000352,34.1000060001458]"
320,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","safe-speed, car-traffic",Secret (unmarked) good route for cyclists in Hollywood. Slow car traffic. Much safer than Vine and Gower nearby.,,,,,,"1301-1329 N El Centro Ave, Los Angeles, CA, 90028, USA",4/4/2019,34.09449433,-118.3245305,Point,"[-118.324531000243,34.0944940002603]"
321,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night","poor-sign, no-yield, driving-speed","difficult to make a left turn from New Hampshire to Rosewood because of unpredicatble car traffic, especially from the fwy offramp.",,,,,,,,,"420-498 N New Hampshire Ave, Los Angeles, CA, 90004, USA",4/4/2019,34.0790124,-118.2931812,Point,"[-118.293180999672,34.0790119997012]"
322,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","safe-speed, car-traffic","New Hampshire and 4th Street in KTown are both good, low speed streets that feel safe for bikes and scooters.",,,,,,"3401-3499 W 4th St, Los Angeles, CA, 90020, USA",4/4/2019,34.0674151,-118.2929495,Point,"[-118.292948999868,34.0674149999873]"
323,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard",good-sign,Good scramble intersection here.,,,,,,"687-699 S Alvarado St, Los Angeles, CA, 90057, USA",4/4/2019,34.0565277,-118.2768564,Point,"[-118.276855999557,34.0565280003493]"
324,nearMiss,Mar-19,scooter,day,driver,,none,,,"poor-sign, no-yield, unsafe-speed",Drivers (more than one!) cut me off while I was scootering North on Sunset so they could make right turns on Vin Scully Ave.,,,,,,,,,,,,,,"1325-1339 W Sunset Blvd, Los Angeles, CA, 90026, USA",4/4/2019,34.07243707,-118.2509131,Point,"[-118.250913000003,34.0724370002117]"
325,unsafe,,,,,,,,,,,,"bike, scooter","day, night",obstacle,Valet Stand at Mohawk and Sunset means Eastbound Sunset bikeline is often obstructed.,,,,,,,,,"1101-1199 Mohawk St, Los Angeles, CA, 90026, USA",4/4/2019,34.07751334,-118.2654213,Point,"[-118.26542100025,34.0775130003046]"
326,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night",poor-sign,"bad street design. Too many intersecting roads. Long, confusing signals. Inattentive and impatient drivers.",,,,,,,,,"4401-4499 Hollywood Blvd, Los Angeles, CA, 90027, USA",4/4/2019,34.09844217,-118.2873447,Point,"[-118.287345000105,34.0984420001496]"
327,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night",poor-street,rough pavement at Sunset and Fountain.,,,,,,,,,"4342-4348 Fountain Ave, Los Angeles, CA, 90029, USA",4/4/2019,34.09575849,-118.2841287,Point,"[-118.284128999947,34.0957580000165]"
328,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night",poor-sign,difficult to cross Western or make left turns from Clinton.,,,,,,,,,"601-609 N Western Ave, Los Angeles, CA, 90004, USA",4/4/2019,34.08169511,-118.3092092,Point,"[-118.309208999686,34.0816950003235]"
329,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night","poor-sign, no-yield, driving-speed",Beverly is high speed a difficult to cross or make left turns onto.,,,,,,,,,"8347 Beverly Blvd, Los Angeles, CA, 90048, USA",4/4/2019,34.0760765,-118.3717006,Point,"[-118.371701000417,34.0760770000619]"
330,nearMiss,Aug-18,bike,day,driver,,none,,,other,"Driver's use the bike lane as an extended turn lane to get onto the 10 freeway.  A driver merged into the bike lane as I was riding past and I jumped off my bike to avoid getting hit. I was shaken, but fine, and the driver yelled at me saying it was my fault.",,,,,,,,,,,,,,"5957-5991 Venice Blvd, Los Angeles, CA, 90034, USA",4/4/2019,34.03848732,-118.372445,Point,"[-118.372445000406,34.0384870000446]"
331,nearMiss,Aug-18,bike,night,"driver, bike",,none,,,"poor-lighting, unsafe-speed, other","Driver's routinely speed through here despite speed bumps.  The road is narrow with parked cars on both sides.  There are sharrows, but cars pass bikes closer than 3 ft, even with oncoming traffic. ",,,,,,,,,,,,,,"117-299 S New Hampshire Ave, Los Angeles, CA, 90004, USA",4/4/2019,34.07071992,-118.2929962,Point,"[-118.292995999724,34.0707199999734]"
332,incident,Mar-19,walk,day,"driver, scooter",,sev,no-yield,Vehicle turning left didn't see woman on scooter coming in the opposite direction. Vehicle struck the woman.  She was later picked up by an ambulance.,,,yes,,,,,,,,,,,,,"14th St, Santa Monica, CA, 90404, USA",4/4/2019,34.01969004,-118.4805871,Point,"[-118.480586999747,34.0196900000864]"
333,unsafe,,,,,,,,,,,,"walk, bike","day, night","no-yield, driving-speed","The intersection of Wilshire Blvd and Bixel is on one street the entrance into downtown and the other a pathway onto the freeway. During rush hour the intersection has cars blocking the crosswalks and traffic
",,,,,,,,,"1100-1110 Wilshire Blvd, Los Angeles, CA, 90017, USA",4/4/2019,34.05229505,-118.2633909,Point,"[-118.263390999948,34.0522949999925]"
334,unsafe,,,,,,,,,,,,walk,"day, night","no-yield, driving-speed",The right turn from South going  Glendale traffic onto Silver Lake is essentially a slip lane.  Cars often out peds in danger.,,,,,,,,,"2391-2399 Silver Lake Blvd, Los Angeles, CA, 90039, USA",4/4/2019,34.10078647,-118.2592643,Point,"[-118.259264000294,34.1007859998717]"
335,nearMiss,Apr-19,bike,day,driver,,none,,,"curving, no-yield","The alley is used by cars and is crossing the path of people and bicyclists who cross it to get onto the Chandler bike path when moving from South to North. A bug warehouse building is obstructing the view for pedestrians and bicyclists, and also for cars that often pull out of the alley to turn North onto Vineland Ave. Perhaps installing a curved mirror could help, and/or sign to alert the drivers. ",,,,,,,,,,,,,,"5344 Vineland Ave, North Hollywood, CA, 91601, USA",4/4/2019,34.16819107,-118.370281,Point,"[-118.370281000209,34.1681910003194]"
336,positive,,,,,,,,,,,,,,,,bike,"safe-speed, car-traffic, good-bikelane, good-sign",This is a bike friendly street from Koreatown that spits you out into Hollywood. (A friendly commute route). ,,,,,,"600-698 S Arden Blvd, Los Angeles, CA, 90005, USA",4/5/2019,34.06207,-118.3257373,Point,"[-118.32573700019,34.0620699999958]"
337,incident,4/4/2019,walk,day,driver,,fatal,poor-sign,"https://abc7.com/2-sisters-struck-by-big-rig-east-of-exposition-park/5233898/

SOUTH LOS ANGELES (KABC) -- A 14-year-old girl died after she and her 12-year-old sister were struck by a big rig while walking to school east of Exposition Park Thursday morning, police said. 

Los Angeles Fire responded to the incident at approximately 7:56 a.m. LAPD Detective Moises Castillo said the girls had a green light at 37th and Broadway. When they began to cross the street, the big rig crashed into them. ",,,yes,,,,,,,,,,,,,"200-248 W 37th St, Los Angeles, CA, 90007, USA",4/5/2019,34.01570908,-118.2759917,Point,"[-118.275991999916,34.0157089998362]"
338,nearMiss,Jan-19,walk,night,driver,,none,,,"poor-lighting, no-yield, unsafe-speed",Car traveling north on Adeline turning quickly east onto 46th St without looking for pedestrians. This happens a lot in this area,,,,,,,,,,,,,,"1000-1098 46th St, Emeryville, CA, 94608, USA",4/7/2019,37.83576864,-122.276408,Point,"[-122.276408000085,37.835769000143]"
339,unsafe,,,,,,,,,,,,bike,"day, night","poor-street, poor-sign, driving-speed",This intersection is dangerous because the light doesn't respond to cyclists and the intersection is at the bottom of a hill where cars fly down. They don't see cyclists trying to cross. ,,,,,,,,,"N Vignes St, Los Angeles, CA, 90012, USA",4/7/2019,34.04845681,-118.2339227,Point,"[-118.233923000439,34.0484570002627]"
340,unsafe,,,,,,,,,,,,bike,"day, night",poor-bikelane,"There's been an extremely dangerous redesign of bike lanes at this intersection. This is a one way street and at this intersection they (the city) moved the bike  lane from traversing down the right side of the street, make you cross the center of a very busy intersection in order to begin riding for 1/4th a mile down Spring St. on the left side, before they make you recross at around 8th. This bike lane redesign slows riding, congests riding, and has turned a functional, safe, and intuitive bike lane into a very dangerous place to ride your bike in the heart of DTLA. ",,,,,,,,,"200-298 S Spring St, Los Angeles, CA, 90012, USA",4/7/2019,34.05026731,-118.246903,Point,"[-118.246902999626,34.0502669996511]"
341,unsafe,,,,,,,,,,,,bike,"day, night","no-yield, driving-speed, other","This is a protected bike lane where there are No Turn on Red"" signs so cyclists can ride on their green light but drivers do not read the sign and ignore the red arrows. There are near misses here all the time. """,,,,,,,,,"726-798 W Olympic Blvd, Los Angeles, CA, 90015, USA",4/7/2019,34.04488495,-118.2639571,Point,"[-118.263956999662,34.0448849999399]"
342,unsafe,,,,,,,,,,,,bike,"day, night","no-yield, driving-speed, other","This is a protected bike lane where there are No Turn on Red"" signs so cyclists can ride on their green light but drivers do not read the sign and ignore the red arrows. There are near misses here all the time. """,,,,,,,,,"766-798 W 9th St, Los Angeles, CA, 90015, USA",4/7/2019,34.04617669,-118.262811,Point,"[-118.26281099999,34.0461769997366]"
343,unsafe,,,,,,,,,,,,bike,"day, night","obstacle, no-yield, other","This is a protected bike lane which also is built next to a bus stop island."" Pedestrians are always walking and standing in this part of the bike lane as they are waiting on the bus. This was a very poor design. """,,,,,,,,,"820-898 W 8th St, Los Angeles, CA, 90017, USA",4/7/2019,34.04787143,-118.2612133,Point,"[-118.261213000405,34.0478709998979]"
344,unsafe,,,,,,,,,,,,bike,"day, night","poor-sidewalk, obstacle, no-yield",This is an elevated bike lane that is also a bus stop platform. There have been several times a bus has opened its doors and people step off the bus and right in front of a riding cyclist. There are pedestrians standing all over the place using this platform beyond what it's supposed to be - for bikes.  Poor design and oblivious bus drivers releasing riders into passing bikes. ,,,,,,,,,"700-712 S Figueroa St, Los Angeles, CA, 90017, USA",4/7/2019,34.04934141,-118.2598922,Point,"[-118.259891999932,34.0493410001512]"
345,unsafe,,,,,,,,,,,,bike,"day, night",obstacle,Hot dog and and food vendors use the bike lane here to set their carts up and sell to sports fans and concert goers. The hotdog vendors are rude and aggressive. ,,,,,,,,,"1060 S Figueroa St, Los Angeles, CA, 90015, USA",4/7/2019,34.04380819,-118.2650498,Point,"[-118.265049999631,34.0438079996985]"
346,nearMiss,Sep-18,bike,day,ped,,none,,,no-yield,"This is a protected"" bike lane with a bus island on the left and a sidewalk on the right of the lane. I was going pretty fast because the coast was clear. As I approached the marked spot a girl, who was looking at her nose and talking on her phone, approached and then stood in place on the sidewalk. As I passed, without looking, she stepped into the bike lane. I came very close to hitting her at full speed and also from being thrown from my bike. We were both lucky that I was watching. She was crossing the bike path, without looking, to get the the bus stop. A terrible bike path design. """,,,,,,,,,,,,,,"S Figueroa St, Los Angeles, CA, 90007, USA",4/7/2019,34.02799884,-118.2761219,Point,"[-118.276121999613,34.0279990003629]"
